Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility
Alleged or Breached Rule	2022-10-18	2022-10-24	6	CAU	Southwest NS Correctional Facility
Covid - 19	2021-01-24	2021-01-25	1	UNK	Southwest NS Correctional Facility
Covid - 19	2021-02-03	2021-02-03	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-02-11	2021-02-12	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-02-12	2021-02-15	3	CAU	Southwest NS Correctional Facility
Covid - 19	2021-02-12	2021-02-13	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-02-15	2021-02-16	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-02-20	2021-02-22	2	CAU	Southwest NS Correctional Facility
Covid - 19	2021-02-23	2021-02-24	1	UNK	Southwest NS Correctional Facility
Covid - 19	2021-03-07	2021-03-08	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-03-15	2021-03-15	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-03-25	2021-03-26	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-03-29	2021-03-29	0	IND	Southwest NS Correctional Facility
Covid - 19	2021-04-08	2021-04-08	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-04-17	2021-04-20	3	CAU	Southwest NS Correctional Facility
Covid - 19	2021-04-19	2021-04-20	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-04-28	2021-04-28	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-05-08	2021-05-10	2	CAU	Southwest NS Correctional Facility
Covid - 19	2021-05-12	2021-05-12	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-05-21	2021-05-22	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-05-23	2021-05-24	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-05-30	2021-06-01	2	CAU	Southwest NS Correctional Facility
Covid - 19	2021-06-01	2021-06-02	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-06-10	2021-06-10	0	IND	Southwest NS Correctional Facility
Covid - 19	2021-06-15	2021-06-16	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-06-20	2021-06-21	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-06-24	2021-06-24	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-06-27	2021-06-29	2	IND	Southwest NS Correctional Facility
Covid - 19	2021-07-01	2021-07-02	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-07-11	2021-07-13	2	CAU	Southwest NS Correctional Facility
Covid - 19	2021-07-15	2021-07-15	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-07-19	2021-07-19	0	UNK	Southwest NS Correctional Facility
Covid - 19	2021-07-30	2021-07-30	0	Redacted	Southwest NS Correctional Facility
Covid - 19	2021-08-10	2021-08-11	1	IND	Southwest NS Correctional Facility
Covid - 19	2021-08-22	2021-08-23	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-09-09	2021-09-10	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-09-10	2021-09-10	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-09-16	2021-09-17	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-09-22	2021-09-22	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-10-06	2021-10-07	1	IND	Southwest NS Correctional Facility
Covid - 19	2021-10-08	2021-10-08	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-10-13	2021-10-15	2	CAU	Southwest NS Correctional Facility
Covid - 19	2021-10-14	2021-10-14	0	CAU	Southwest NS Correctional Facility
Covid - 19	2021-11-02	2021-11-02	0	IND	Southwest NS Correctional Facility
Covid - 19	2021-11-15	2021-11-15	0	Redacted	Southwest NS Correctional Facility
Covid - 19	2021-12-02	2021-12-02	0	UNK	Southwest NS Correctional Facility
Covid - 19	2021-12-10	2021-12-11	1	CAU	Southwest NS Correctional Facility
Covid - 19	2021-12-14	2021-12-15	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-01-08	2022-01-10	2	CAU	Southwest NS Correctional Facility
Covid - 19	2022-01-09	2022-01-10	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-01-09	2022-01-11	2	CAU	Southwest NS Correctional Facility
Covid - 19	2022-02-01	2022-02-02	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-02-04	2022-02-07	3	CAU	Southwest NS Correctional Facility
Covid - 19	2022-02-12	2022-02-15	3	CAU	Southwest NS Correctional Facility
Covid - 19	2022-02-13	2022-02-17	4	Redacted	Southwest NS Correctional Facility
Covid - 19	2022-02-16	2022-02-17	1	IND	Southwest NS Correctional Facility
Covid - 19	2022-02-17	2022-02-17	0	Redacted	Southwest NS Correctional Facility
Covid - 19	2022-03-28	2022-03-29	1	Redacted	Southwest NS Correctional Facility
Covid - 19	2022-04-04	2022-04-05	1	IND	Southwest NS Correctional Facility
Covid - 19	2022-04-05	2022-04-06	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-04-16	2022-04-19	3	CAU	Southwest NS Correctional Facility
Covid - 19	2022-04-28	2022-05-02	4	CAU	Southwest NS Correctional Facility
Covid - 19	2022-04-28	2022-04-29	1	UNK	Southwest NS Correctional Facility
Covid - 19	2022-04-29	2022-05-05	6	CAU	Southwest NS Correctional Facility
Covid - 19	2022-05-20	2022-05-25	5	CAU	Southwest NS Correctional Facility
Covid - 19	2022-05-21	2022-05-25	4	CAU	Southwest NS Correctional Facility
Covid - 19	2022-05-24	2022-05-25	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-05-26	2022-05-31	5	CAU	Southwest NS Correctional Facility
Covid - 19	2022-05-28	2022-06-01	4	Redacted	Southwest NS Correctional Facility
Covid - 19	2022-05-28	2022-05-31	3	CAU	Southwest NS Correctional Facility
Covid - 19	2022-05-30	2022-05-31	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-06-02	2022-06-03	1	Redacted	Southwest NS Correctional Facility
Covid - 19	2022-06-03	2022-06-08	5	CAU	Southwest NS Correctional Facility
Covid - 19	2022-06-05	2022-06-06	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-06-13	2022-06-14	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-06-16	2022-06-17	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-06-18	2022-06-20	2	CAU	Southwest NS Correctional Facility
Covid - 19	2022-06-18	2022-06-20	2	CAU	Southwest NS Correctional Facility
Covid - 19	2022-06-23	2022-06-27	4	Redacted	Southwest NS Correctional Facility
Covid - 19	2022-06-24	2022-06-27	3	Redacted	Southwest NS Correctional Facility
Covid - 19	2022-06-26	2022-06-28	2	CAU	Southwest NS Correctional Facility
Covid - 19	2022-06-27	2022-06-28	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-06-29	2022-06-30	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-07-04	2022-07-05	1	Redacted	Southwest NS Correctional Facility
Covid - 19	2022-07-04	2022-07-04	0	CAU	Southwest NS Correctional Facility
Covid - 19	2022-07-04	2022-07-05	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-07-06	2022-07-07	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-07-08	2022-07-11	3	CAU	Southwest NS Correctional Facility
Covid - 19	2022-07-17	2022-07-18	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-07-21	2022-07-21	0	CAU	Southwest NS Correctional Facility
Covid - 19	2022-07-22	2022-07-25	3	IND	Southwest NS Correctional Facility
Covid - 19	2022-07-28	2022-08-03	6	CAU	Southwest NS Correctional Facility
Covid - 19	2022-07-29	2022-08-04	6	CAU	Southwest NS Correctional Facility
Covid - 19	2022-08-07	2022-08-08	1	UNK	Southwest NS Correctional Facility
Covid - 19	2022-08-07	2022-08-18	11	CAU	Southwest NS Correctional Facility
Covid - 19	2022-08-11	2022-08-15	4	Redacted	Southwest NS Correctional Facility
Covid - 19	2022-08-25	2022-08-26	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-09-07	2022-09-09	2	IND	Southwest NS Correctional Facility
Covid - 19	2022-09-08	2022-09-09	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-09-09	2022-09-13	4	CAU	Southwest NS Correctional Facility
Covid - 19	2022-09-09	2022-09-13	4	CAU	Southwest NS Correctional Facility
Covid - 19	2022-09-10	2022-09-17	7	CAU	Southwest NS Correctional Facility
Covid - 19	2022-09-17	2022-09-20	3	CAU	Southwest NS Correctional Facility
Covid - 19	2022-09-26	2022-10-03	7	CAU	Southwest NS Correctional Facility
Covid - 19	2022-09-27	2022-10-05	8	CAU	Southwest NS Correctional Facility
Covid - 19	2022-10-06	2022-10-14	8	CAU	Southwest NS Correctional Facility
Covid - 19	2022-10-08	2022-10-09	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-10-17	2022-10-24	7	CAU	Southwest NS Correctional Facility
Covid - 19	2022-10-17	2022-10-18	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-10-18	2022-10-19	1	Redacted	Southwest NS Correctional Facility
Covid - 19	2022-11-05	2022-11-05	0	IND	Southwest NS Correctional Facility
Covid - 19	2022-11-07	2022-11-08	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-11-11	2022-11-25	14	CAU	Southwest NS Correctional Facility
Covid - 19	2022-11-19	2022-11-22	3	CAU	Southwest NS Correctional Facility
Covid - 19	2022-11-21	2022-11-24	3	CAU	Southwest NS Correctional Facility
Covid - 19	2022-11-23	2022-11-24	1	CAU	Southwest NS Correctional Facility
Covid - 19	2022-12-30	2023-01-10	11	UNK	Southwest NS Correctional Facility
Housed with Privileges	2022-08-29	2022-09-10	12	CAU	Southwest NS Correctional Facility
Housed with Privileges	2022-09-15	2022-09-17	2	CAU	Southwest NS Correctional Facility
Housed with Privileges	2022-09-23	2022-09-27	4	IND	Southwest NS Correctional Facility
Housed with Privileges	2022-10-19	2022-10-20	1	IND	Southwest NS Correctional Facility
PROTECTION	2021-11-14	2021-11-15	1	CAU	Southwest NS Correctional Facility
